type,polygon1_name,ds,mean_colocation,NAME_1,GID_2,TYPE_2
Between,Aberdeen,2020-03-03,3.5652076966184282e-6,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-03-10,3.4130152440006997e-6,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-03-17,3.152530531643506e-6,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-03-24,1.4323781165934068e-6,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-03-31,6.81718326554814e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-04-07,7.129274000215936e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-04-14,7.043692245016252e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-04-21,7.67332009968495e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-04-28,8.623186403064323e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeen,2020-05-05,8.566527333482255e-7,Scotland,GBR.3.1_1,Unitary District (City)
Between,Aberdeenshire,2020-03-03,8.230709546361297e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-03-10,9.861984351457482e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-03-17,8.796114204612456e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-03-24,3.371771389516212e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-03-31,1.4663226035998067e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-04-07,1.850329674467765e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-04-14,1.6217068830023028e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-04-21,1.9708596104304718e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-04-28,1.8757400110590658e-7,Scotland,GBR.3.2_1,Unitary District
Between,Aberdeenshire,2020-05-05,2.6227133668979934e-7,Scotland,GBR.3.2_1,Unitary District
Between,Anglesey,2020-03-03,2.8530674531911227e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-03-10,2.855246031076372e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-03-17,2.8058965407203327e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-03-24,1.68996976466188e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-03-31,9.986607230698762e-7,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-04-07,1.400133142235542e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-04-14,1.2291279263007925e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-04-21,1.2420156635406142e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-04-28,1.5616838187243989e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Anglesey,2020-05-05,1.7151268050616045e-6,Wales,GBR.4.1_1,Unitary Authority
Between,Angus,2020-03-03,2.6981882096346493e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-03-10,2.8411151376399583e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-03-17,2.3167286447956353e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-03-24,1.1573004420913318e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-03-31,8.707381593565544e-7,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-04-07,9.866692091168334e-7,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-04-14,1.1246100985734174e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-04-21,1.7586978252878591e-6,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-04-28,9.209091983431139e-7,Scotland,GBR.3.3_1,Unitary District
Between,Angus,2020-05-05,1.090981449411421e-6,Scotland,GBR.3.3_1,Unitary District
Between,Antrim and Newtownabbey,2020-03-03,5.271238898355598e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-03-10,5.153173437225998e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-03-17,3.7291904869835647e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-03-24,2.23161988593701e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-03-31,2.0340944503588744e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-04-07,8.788094791636012e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-04-14,5.508208379818558e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-04-21,5.2541484109723475e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-04-28,3.604049627389191e-6,Northern Ireland,GBR.2.1_1,District
Between,Antrim and Newtownabbey,2020-05-05,2.830908786608062e-6,Northern Ireland,GBR.2.1_1,District
Between,Argyll and Bute,2020-03-03,2.3733764226778193e-6,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-03-10,2.731734046976048e-6,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-03-17,2.4995584240541704e-6,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-03-24,8.851191233579553e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-03-31,4.571384499735842e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-04-07,7.183889821006286e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-04-14,8.229542097731139e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-04-21,5.927552702310051e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-04-28,7.326801200206388e-7,Scotland,GBR.3.4_1,Unitary District
Between,Argyll and Bute,2020-05-05,7.648470819761366e-7,Scotland,GBR.3.4_1,Unitary District
Between,"Armagh, Banbridge and Craigavon",2020-03-03,2.8084416383342783e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-03-10,2.7852116985713533e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-03-17,2.0103502810170493e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-03-24,1.1872153988150488e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-03-31,9.569030209600261e-7,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-04-07,1.5595457380046188e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-04-14,9.57094677008046e-7,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-04-21,1.4618463704427793e-6,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-04-28,8.536691511544177e-7,Northern Ireland,GBR.2.2_1,District
Between,"Armagh, Banbridge and Craigavon",2020-05-05,1.16765672172672e-6,Northern Ireland,GBR.2.2_1,District
Between,Barnsley,2020-03-03,1.8977800649775844e-6,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-03-10,1.9542361510800656e-6,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-03-17,1.738559801797415e-6,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-03-24,9.132169824627067e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-03-31,4.420062599894575e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-04-07,4.351038667786696e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-04-14,3.6087472968738373e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-04-21,4.4412523806199474e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-04-28,4.702018542552676e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Barnsley,2020-05-05,4.861049350417239e-7,England,GBR.1.1_1,Metropolitan Borough
Between,Bath and North East Somerset,2020-03-03,2.9871865028180876e-6,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-03-10,3.0768910718406447e-6,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-03-17,2.8987808320266367e-6,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-03-24,1.3054237923951361e-6,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-03-31,8.286645227019049e-7,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-04-07,7.648228132774204e-7,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-04-14,5.776373729729244e-7,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-04-21,6.748128947096772e-7,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-04-28,8.031567536013017e-7,England,GBR.1.2_1,Unitary Authority
Between,Bath and North East Somerset,2020-05-05,8.650049478665477e-7,England,GBR.1.2_1,Unitary Authority
Between,Bedfordshire,2020-03-03,2.029374096243052e-6,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-03-10,2.072149125272763e-6,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-03-17,1.7743134800409666e-6,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-03-24,1.0190449937472185e-6,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-03-31,5.97844750388294e-7,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-04-07,5.859463143349429e-7,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-04-14,4.964981063479147e-7,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-04-21,5.631262403497377e-7,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-04-28,6.649477638064102e-7,England,GBR.1.3_1,Administrative County
Between,Bedfordshire,2020-05-05,6.913850562272633e-7,England,GBR.1.3_1,Administrative County
Between,Belfast,2020-03-03,7.44754976389933e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-03-10,7.202255465393207e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-03-17,5.2778386531336745e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-03-24,2.8852301917078293e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-03-31,2.0171796538910936e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-04-07,2.7875783349750253e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-04-14,3.4558819255813664e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-04-21,3.3457264876858032e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-04-28,4.102649257340908e-6,Northern Ireland,GBR.2.3_1,District
Between,Belfast,2020-05-05,7.710514419302105e-6,Northern Ireland,GBR.2.3_1,District
Between,Birmingham,2020-03-03,3.493082670173523e-6,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-03-10,3.3451798359495582e-6,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-03-17,2.868664955210998e-6,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-03-24,1.4647688253811966e-6,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-03-31,6.219147414988893e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-04-07,6.388151224649907e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-04-14,5.798130712305068e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-04-21,6.874871073850635e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-04-28,7.548818193631412e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Birmingham,2020-05-05,7.751946810476028e-7,England,GBR.1.4_1,Metropolitan Borough (City)
Between,Blackburn with Darwen,2020-03-03,1.7334478774862114e-6,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-03-10,1.7040344227323185e-6,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-03-17,1.4986639436573426e-6,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-03-24,7.535673888150901e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-03-31,3.647142751837989e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-04-07,3.5497424504748393e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-04-14,3.132508884303003e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-04-21,4.529176654234723e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-04-28,4.5710204722786536e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackburn with Darwen,2020-05-05,4.651924441383244e-7,England,GBR.1.5_1,Unitary Authority
Between,Blackpool,2020-03-03,1.8421193368266952e-6,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-03-10,1.8994821401948523e-6,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-03-17,1.8547655310115663e-6,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-03-24,8.563122110548576e-7,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-03-31,2.9012139715237127e-7,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-04-07,3.343494624790067e-7,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-04-14,3.4700863926983105e-7,England,GBR.1.6_1,Unitary Authority
Between,Blackpool,2020-04-21,3.138553793991785e-7,England,GBR.1.6_1,Unitary Authority
